날짜,금융투자,보험,투신,사모,은행,기타금융,연기금,기타법인,개인,외국인,기타외국인,기관합계,전체
2021-05-06,339939850,87214300,874620250,-285738450,16118650,0,777968300,5217904100,-5376731850,-1664880450,13585300,7028027000,0
2021-05-07,-1169741850,-197458700,-85354850,0,0,-15077850,1165153350,3230316850,-6985550,-2886327650,-34523750,2927836950,0
2021-05-10,555024050,983065800,3997145500,598600350,0,65364700,1883891350,-3274799750,-6147263600,1518609550,-179637950,4808292000,0
2021-05-11,-382575700,632501650,2975049400,122378050,0,-10771600,2133344350,-7294365700,889130000,927723200,7586350,-1824439550,0
2021-05-12,-369715650,611760500,374267350,-285259550,24512050,0,115661550,2964337150,-1356604450,-2068309200,-10649750,3435563400,0
2021-05-13,-1975337800,285317250,2197577600,3832273400,0,16949200,525091550,3927837950,-7977510900,-879511300,47313050,8809709150,0
2021-05-14,1198077050,72208000,957768250,1696362450,112373600,0,900895600,-4819481200,526972000,-643453200,-1722550,118203750,0
2021-05-17,74544300,548605800,894613400,660849150,0,19451100,292319250,-1529062750,-1127561550,141024200,25217100,961320250,0
2021-05-18,28028450,-52550500,98686150,904417800,0,0,1199181700,2616151450,-3267250800,-1527116450,452200,4793915050,0
2021-05-20,476122900,50034950,157806950,1462688650,0,0,9315800,1654344100,-4530279850,790042050,-70075550,3810313350,0
2021-05-21,-1005894450,-1215129750,-291225650,-4346995450,0,0,-174498500,-7936573600,12596814600,2271185850,102316950,-14970317400,0
2021-05-24,-403981300,690464300,453959550,-1448260600,0,0,184811250,65505500,-595673100,1048002000,5172400,-457501300,0
2021-05-25,1479285200,40875650,346932450,239820500,0,0,1212236500,-774974050,-6193056150,3625628500,23251400,2544176250,0
2021-05-26,659896400,296274500,218131900,16016200,0,0,1217360050,2206572600,-5617013150,989878850,12882650,4614251650,0
2021-05-27,-560064950,352759500,61234850,-293763400,25308350,39015800,-412251100,6334490250,-3556014150,-1956508400,-34206750,5546729300,0
2021-05-28,-495422550,-267024550,-789239300,227100,0,-19184150,466013800,4388591400,-1648216300,-1631605650,-4139800,3283961750,0
2021-05-31,1064668800,52284300,1329705850,-127152000,0,0,541220000,-5063261850,-2038970500,4231883700,9621700,-2202534900,0
2021-06-01,-1213363900,-251754450,-237018650,-6833791600,0,-28521450,478070300,7761507000,4323227800,-4264659850,266304800,-324872750,0
2021-06-02,1044400650,183601500,1057656600,238997600,0,0,408830800,1775891550,-8352219700,3915933950,-273092950,4709378700,0
2021-06-03,22959300,106818650,407226200,-233264350,0,0,152645150,874354000,-2500236750,1179581100,-10083300,1330738950,0
2021-06-04,-317264450,-135479000,49986900,-7787766450,0,19700000,-1557747300,-10100959600,17335017950,2262281100,232230850,-19829529900,0
2021-06-07,-222568150,-501227850,-158392100,964833200,0,0,677149950,763874500,-1248313250,-283709350,8353050,1523669550,0
