날짜,금융투자,보험,투신,사모,은행,기타금융,연기금,기타법인,개인,외국인,기타외국인,전체,기관합계
2021-05-03,-17001,-27839,-311,-2349,-8290,0,35145,659119,-303991,-332671,-1812,0,638474
2021-05-04,70044,39367,45866,-27651,3807,1025,160403,214881,-72032,-433631,-2079,0,507742
2021-05-06,19359,4919,49494,-16150,910,0,43611,295494,-304082,-94345,790,0,397637
2021-05-07,-66346,-11239,-4828,0,0,-864,65787,182377,199,-163141,-1945,0,164887
2021-05-10,30173,53683,218940,32551,0,3568,102842,-179867,-336287,84177,-9780,0,261890
2021-05-11,-20920,34403,161584,6688,0,-589,116095,-398643,50661,50302,419,0,-101382
2021-05-12,-20322,33322,20500,-15657,1332,0,5951,163153,-73827,-113868,-584,0,188279
2021-05-13,-105852,15105,117175,203996,0,890,27263,212952,-427216,-46842,2529,0,471529
2021-05-14,63184,3814,50593,89571,5931,0,47754,-257037,30514,-34234,-90,0,3810
2021-05-17,3832,28999,47187,34942,0,1027,15445,-80963,-59345,7553,1323,0,50469
2021-05-18,1295,-2775,5166,47555,0,0,63104,137872,-171798,-80443,24,0,252217
2021-05-20,24690,2603,8136,76363,0,0,483,86498,-236511,41391,-3653,0,198773
2021-05-21,-54066,-66775,-16120,-237459,0,0,-9806,-430813,684094,125415,5530,0,-815039
2021-05-24,-22022,37312,24523,-78699,0,0,9926,3544,-31974,57108,282,0,-25416
2021-05-25,77813,2131,18176,12574,0,0,63481,-39297,-326716,190624,1214,0,134878
2021-05-26,33884,15283,11217,998,0,0,62846,113659,-289289,50743,659,0,237887
2021-05-27,-28689,17980,3129,-15115,1298,1991,-21365,323808,-181181,-100114,-1742,0,283037
2021-05-28,-25627,-13820,-40967,12,0,-993,24035,225794,-84230,-84004,-200,0,168434
2021-05-31,53490,2633,67085,-6404,0,0,27212,-254907,-102443,212850,484,0,-110891
2021-06-01,-63223,-13194,-12324,-356335,0,-1486,24626,403109,226213,-221170,13784,0,-18827
2021-06-02,53014,9302,53425,12075,0,0,20664,89746,-423038,198628,-13816,0,238226
2021-06-03,1106,5359,20509,-11797,0,0,7689,44040,-125887,59492,-511,0,66906
2021-06-04,-16201,-7012,2481,-407065,0,1000,-80815,-526740,904051,118281,12020,0,-1034352
2021-06-07,-11916,-26344,-8686,50620,0,0,35292,40113,-65436,-14084,441,0,79079
2021-06-08,8363,-4493,-11797,0,0,-1010,-20547,142501,-126204,13263,-76,0,113017
2021-06-09,51443,6453,18048,14317,0,0,0,-168501,-5413,96018,-12365,0,-78240
2021-06-10,181337,-19228,-59303,10470,0,-1473,9493,-225474,312572,-206649,-1745,0,-104178
2021-06-11,-5651,-51996,-26111,11261,0,0,24193,-98334,289066,-142362,-66,0,-146638
2021-06-14,-12155,-36682,-50862,-8925,0,0,-12696,-187896,314802,-7598,2012,0,-309216
2021-06-15,-11841,-31133,-25330,-45,0,-297,19636,-99034,114646,32909,489,0,-148044
2021-06-16,-5722,-6720,-32406,-4039,0,0,-30769,377658,-195895,-99431,-2676,0,298002
2021-06-17,32523,-1975,30981,14122,0,0,0,139029,-322277,107360,237,0,214680
2021-06-18,-6119,-40688,-9577,-1003,0,0,-4532,99629,-13067,-24839,196,0,37710
2021-06-21,-55634,-39603,-48203,-164485,-7229,-1755,-104474,143483,321032,-50489,7357,0,-277900
2021-06-22,-3039,-33059,-3952,-10379,0,0,-9531,344162,-325800,42298,-700,0,284202
2021-06-23,20695,-30949,-70652,-171616,0,-1139,-29348,266413,109374,-94384,1606,0,-16596
2021-06-24,-13294,-4979,-69879,-118024,-11499,0,-112122,276173,31680,23467,-1523,0,-53624
2021-06-25,6801,-20475,3534,-6972,0,-1662,-6410,-11990,-2694,42335,-2467,0,-37174
2021-06-28,50439,-8414,3293,6,0,-1072,-5711,-114034,21284,58313,-4104,0,-75493
2021-06-29,-13452,2527,15402,-21150,0,-661,-96860,-330960,318539,124963,1652,0,-445154
2021-06-30,12141,8102,-1763,-37091,0,-664,-3994,-164372,190931,-3630,340,0,-187641
2021-07-01,-38562,-52560,-39821,-2714,0,-2287,-37688,223387,18971,-70121,1395,0,49755
2021-07-02,-12897,-30213,-54588,-54090,0,-2434,-99590,202150,105704,-54722,680,0,-51662
2021-07-05,28447,20,-27104,-675,0,0,-71221,204353,-166210,32319,71,0,133820
2021-07-06,14544,8709,31968,6169,0,-1335,14249,27230,-213679,113573,-1428,0,101534
2021-07-07,-6137,-30,-29669,-232,0,-2123,-17090,-341808,581241,-184546,394,0,-397089
2021-07-08,-134606,738,-12211,-5075,0,0,-11335,-382891,426539,119881,-1040,0,-545380
2021-07-09,84772,-4270,5188,47366,0,0,-22848,-597168,185390,301123,447,0,-486960
2021-07-12,-1553,-6224,-19368,-5040,0,0,-26416,-64429,92336,30702,-8,0,-123030
2021-07-13,38110,-1439,12241,7625,0,397,-14770,-71790,20981,2679,5966,0,-29626
2021-07-14,-30485,-6979,-11221,-7223,0,0,-29752,-418938,553308,-51824,3114,0,-504598
2021-07-15,2702,-8966,-75788,-1208,0,0,0,-7845,92325,-1475,255,0,-91105
2021-07-16,-8030,0,-91970,-59513,0,0,7101,-104993,425317,-168468,556,0,-257405
2021-07-19,-39712,-19229,-99596,43644,0,5,-21774,-8140,201518,-57245,529,0,-144802
2021-07-20,31438,1510,-42376,-21028,0,3,1818,1273,36160,-8199,-599,0,-27362
2021-07-21,-41051,-5,-72161,7830,0,2,-64742,107424,244591,-190220,8332,0,-62703
2021-07-22,210325,-18410,-35180,14138,0,0,-99324,-266519,16956,177462,552,0,-194970
2021-07-23,1942,19,7304,-51952,0,-1562,-56980,149365,85277,-134027,614,0,48136
2021-07-26,452,-44,-20913,-22717,0,3,-124520,55750,170245,-58415,159,0,-111989
2021-07-27,9278,-9,295,-99479,0,-1536,0,208169,-147280,21449,9113,0,116718
2021-07-28,20516,-31504,-7484,-2644,0,2,-69165,156394,-7494,-64870,6249,0,66115
2021-07-29,7526,4943,-37997,-22340,0,2,-36046,250321,-134929,-36964,5484,0,166409
2021-07-30,27584,-1405,-25121,-1857,0,7,-64342,-448606,359803,140749,13188,0,-513740
2021-08-02,-8925,-71,5986,-320,0,0,-59712,-342708,384693,20572,485,0,-405750
2021-08-03,11216,-1330,-1744,-1154,0,0,4955,-152613,120992,18430,1248,0,-140670
2021-08-04,-29853,-17532,-75497,-2980,0,0,-26404,-22898,-43713,218715,162,0,-175164
2021-08-05,-5219,-33,-2149,-540,0,1,-34554,16620,132297,-107495,1072,0,-25874
2021-08-06,-114132,-62,17544,-916,0,-4,1991,12,151587,-55725,-295,0,-95567
2021-08-09,-34846,-214,-46221,-1048,0,-9997,10601,169,61006,20071,479,0,-81556
2021-08-10,-14886,-18449,-1,484,0,0,3045,-233192,207468,54604,927,0,-262999
2021-08-11,-85507,-235,-14802,-3630,0,0,0,-7430,110856,753,-5,0,-111604
2021-08-12,-131099,741,-1320,-2591,0,-7464,-15337,571374,13214,-428699,1181,0,414304
2021-08-13,-7975,109,-12538,-1333,0,5,530,179338,-95636,-62740,240,0,158136
2021-08-17,-110032,-13967,-23482,-2138,0,12,-265,197239,135402,-183917,1148,0,47367
2021-08-18,-122667,-789,-2960,-6955,0,3,-34248,90948,6993,69744,-69,0,-76668
2021-08-19,24469,-21581,-27479,-2284,0,0,-22931,-194912,151294,93131,293,0,-244718
2021-08-20,-32457,6690,-1796,-589,300,0,-6333,119697,-90519,4977,30,0,85512
2021-08-23,36515,-230,588,11575,0,0,-6694,-12549,-73531,44686,-360,0,29205
2021-08-24,24845,4338,-1063,-2444,0,0,14301,1011,-166231,125333,-90,0,40988
